date,kyur,ohur,paur,wvur,usur
07/01/2017,5,5.1,4.8,5.1,4.3
08/01/2017,4.9,5,4.8,5.2,4.4
09/01/2017,4.7,5,4.8,5.3,4.2
10/01/2017,4.6,4.9,4.8,5.4,4.1
11/01/2017,4.5,4.9,4.8,5.4,4.1
12/01/2017,4.5,4.9,4.8,5.4,4.1
01/01/2018,4.3,4.7,4.8,5.4,4.1
02/01/2018,4.1,4.5,4.8,5.4,4.1
03/01/2018,4,4.4,4.8,5.4,4.1
04/01/2018,4,4.3,4.7,5.4,3.9
05/01/2018,4.1,4.3,4.5,5.4,3.8
